full_text,sentiment
"unicos ""cojones politicos"" deben regresar frente amplio sacar punta patadas leyendo papelito meketrefe inutil",negativo
pulvericemos rojos.,positivo
lastima vilcatoma retirado habra tercera yeni,positivo
pablo sanchez garrapata aferra uñas dientes sillon supremo hace ambos blindadores corruptos.y asesinos. blindaron humalas villaran. sanchez invento cuellos blancos eliminar chaverry,positivo
"entendi, estimado.",positivo
"acaso misma linea fujimorista, perdamos tiempo mejor ataquemos caviares izquierdozos argumentos juristas serios estan favor derecho liberacion keiko #keikolibertad",negativo
estupidez vilcatoma reforzando cargo delincuentes paso hundiendo keiko. dedique hijos.,negativo
"guerra acuerdo dices democracia favor izquierda, aqui agresivos cierre congreso gano puesta mano vizcarra, debieron fuerte vacarlo, estan consecuencias.",negativo
"dejar prision inocentes, validar poder delincuentes vende patrias estrategia esteril, inutil decir menos. costo demasiado alto, moralmente deplorable",negativo
"manera hablarlo evidenciar enemigo debe secreto, alguna dijo patton.",positivo
wasap,positivo
"estrategia valida haciendo politica costa prision otros. esto, mañana poder pedira mas.",negativo
estrategia vamos charlarlo privado.,positivo
por?,positivo
razon.,positivo
ummm mejor callo quiero evidenciar favor enemigo.,negativo
aprovecha minutos fama.pero sigo pensando hace bien mostrarse nadie dira equivoque ella.,positivo
ahora sale favor locos fiscales. escuchado?,negativo
